id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
32,Client Money Protection Schemes for Property Agents (Requirement to Belong to a Scheme etc.) Regulations 2018,,SI,2018,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2018/9780111169155,TKqREWHZ,1026,
5599,Maidstone (Electoral Changes) Order 2023,,SI,2023,in accordance with article 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2023/9780348247145,EjHC065i,949,
3349,Electronic Communications and Wireless Telegraphy (Amendment) (European Electronic Communications Code and EU Exit) Regulations 2020,,SI,2020,in accordance with regulation 1(2) and (3).,,,https://www.legislation.gov.uk/ukdsi/2020/9780348213089,IgT6QRCh,"1, 2419",
617,Alternative Investment Fund Managers (Amendment etc.) (EU Exit) Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111175323,R5nCEv84,1,
765,Conservation of Habitats and Species (Amendment) (EU Exit) Regulations 2019,,SI,2019,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111176573,js7e0ItY,1,
4775,Human Rights Act 1998 (Remedial) Order 2019,,SI,2019,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111190623 ,zphbgODn,1324,4774
92,European Union (Definition of Treaties) (Comprehensive and Enhanced Partnership Agreement) (Armenia) Order 2018,,SI,2018,in accordance with article 2,,,https://www.legislation.gov.uk/ukdsi/2018/9780111169759,rMrXIRPv,2419,
660,Consumer Protection (Enforcement) (Amendment etc.) (EU Exit) Regulations 2018,,SI,2018,in accordance with regulation 1,,,https://www.legislation.gov.uk/ukdsi/2018/9780111176139,PEsLCsB2,1,340
957,Conduct of Employment Agencies and Employment Businesses (Amendment) Regulations 2019,,SI,2019,,2020-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2019/9780111179444,ZIfskXPK,2350,
6885,Gambling Levy Regulations 2025,,SI,2025,,2025-04-06 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2025/9780348267211,b0MiJqYO,1355,
4365,Local Audit (Appointing Person) (Amendment) Regulations 2021,,SI,2021,,,,https://www.legislation.gov.uk/ukdsi/2021/9780348228182,vdr30aKp,988,
2980,Equivalence Determinations for Financial Services (Amendment etc.) (EU Exit) Regulations 2020,,SI,2020,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2020/9780348208917,2ZgPcfIU,1,
