id,sortName,displayName,alphabetisationLetter,givenName,familyName,,,
294097,"Keter, Vincent", Vincent Keter,K, Vincent,Keter,,,
562166,"Khan, Ayesha", Ayesha Khan,K, Ayesha,Khan,,,
505258,"King, Winnie", Winnie King,K, Winnie,King,,,
466592,"Kirk-Wade, Esme", Esme Kirk-Wade,K, Esme,Kirk-Wade,,,
294102,"Knott, David", David Knott,K, David,Knott,,,
471611,"Kulakiewicz, Aaron", Aaron Kulakiewicz,K, Aaron,Kulakiewicz,,,
346259,"Lack, Dan", Dan Lack,L, Dan,Lack,,,
476719,"Laing, Judith", Judith Laing,L, Judith,Laing,,,
294105,"Lalic, Maria", Maria Lalic,L, Maria,Lalic,,,
519699,"Lally, Clare", Clare Lally,L, Clare,Lally,,,
294274,"Lang, Arabella", Arabella Lang,L, Arabella,Lang,,,
416612,"Lau, Henry", Henry Lau,L, Henry,Lau,,,
566206,"Lee, Gavin", Gavin Lee,L, Gavin,Lee,,,
568953,"Leen, Gayle", Gayle Leen,L, Gayle,Leen,,,
294110,"Lester, Paul", Paul Lester,L, Paul,Lester,,,
476717,"Lewis, Anastasia", Anastasia Lewis,L, Anastasia,Lewis,,,
477345,"Lewis, Joe", Joe Lewis,L, Joe,Lewis,,,
454302,"Lewis, Philip", Philip Lewis,L, Philip,Lewis,,,
550306,"Lewis, Sarah", Sarah Lewis,L, Sarah,Lewis,,,
294112,"Lightbown, Sean", Sean Lightbown,L, Sean,Lightbown,,,
293863,"Lipscombe, Sally", Sally Lipscombe,L, Sally,Lipscombe,,,
294114,"Little, Frances", Frances Little,L, Frances,Little,,,
437639,"Little, Paul", Paul Little,L, Paul,Little,,,
455394,"Loft, Philip", Philip Loft,L, Philip,Loft,,,
294118,"Long, Robert", Robert Long,L, Robert,Long,,,
294119,"Lose, Anna", Anna Lose,L, Anna,Lose,,,
294120,"Lourie, Julia", Julia Lourie,L, Julia,Lourie,,,
294122,"Lunn, Jon", Jon Lunn,L, Jon,Lunn,,,
452762,"Macdonald, Melissa", Melissa Macdonald,M, Melissa,Macdonald,,,
434155,"Mackley, Andrew", Andrew Mackley,M, Andrew,Mackley,,,
294127,"Maer, Lucinda", Lucinda Maer,M, Lucinda,Maer,,,
562865,"Mahmood, Saywah", Saywah Mahmood,M, Saywah,Mahmood,,,
505273,"Maisuria, Alpesh", Alpesh Maisuria,M, Alpesh,Maisuria,,,
491376,"Malik, Xameerah", Xameerah Malik,M, Xameerah,Malik,,,
294129,"Maman, Raj", Raj Maman,M, Raj,Maman,,,
506753,"Mansfield, Zoe", Zoe Mansfield,M, Zoe,Mansfield,,,
382714,"Marley, Elizabeth", Elizabeth Marley,M, Elizabeth,Marley,,,
501104,"Masala, Francesco", Francesco Masala,M, Francesco,Masala,,,
490066,"Mawhood, Becky", Becky Mawhood,M, Becky,Mawhood,,,
294140,"McGinness, Stephen", Stephen McGinness,M, Stephen,McGinness,,,
472528,"McGrath, Michael", Michael McGrath,M, Michael,McGrath,,,
294141,"McGuinness, Feargal", Feargal McGuinness,M, Feargal,McGuinness,,,
418692,"McGuinness, Terry", Terry McGuinness,M, Terry,McGuinness,,,
294144,"McInnes, Roderick", Roderick McInnes,M, Roderick,McInnes,,,
294145,"McIver, Iain", Iain McIver,M, Iain,McIver,,,
502931,"McKinney, CJ", CJ McKinney,M, CJ,McKinney,,,
562158,"McNair, Louise", Louise McNair,M, Louise,McNair,,,
495543,"Meade, Lulu", Lulu Meade,M, Lulu,Meade,,,
294150,"Mellows-Facer, Adam", Adam Mellows-Facer,M, Adam,Mellows-Facer,,,
441348,"Miller, Jack", Jack Miller,M, Jack,Miller,,,
294155,"Miller, Vaughne", Vaughne Miller,M, Vaughne,Miller,,,
294265,"Mills, Claire", Claire Mills,M, Claire,Mills,,,
394988,"Mirza Davies, James", James Mirza Davies,M, James,Mirza Davies,,,
433454,"Mor, Federico", Federico Mor,M, Federico,Mor,,,
294158,"Morgan, Bryn", Bryn Morgan,M, Bryn,Morgan,,,
548594,"Morrell, Ned", Ned Morrell,M, Ned,Morrell,,,
422524,"Moses, Anna", Anna Moses,M, Anna,Moses,,,
424047,"Murphy, Chris", Chris Murphy,M, Chris,Murphy,,,
546646,"Murray, Annalise", Annalise Murray,M, Annalise,Murray,,,
466722,"Mutebi, Natasha", Natasha Mutebi,M, Natasha,Mutebi,,,
407899,"Nakatudde, Nambassa", Nambassa Nakatudde,N, Nambassa,Nakatudde,,,
346743,"Nath, Chandrika", Chandrika Nath,N, Chandrika,Nath,,,
294170,"Newson, Nicola", Nicola Newson,N, Nicola,Newson,,,
452766,"Newton, Edward", Edward Newton,N, Edward,Newton,,,
496862,"Nickolls, Lauren", Lauren Nickolls,N, Lauren,Nickolls,,,
416572,"O'Connell, Matthew", Matthew O'Connell,O, Matthew,O'Connell,,,
451264,"O'Donnell, Michael", Michael O'Donnell,O, Michael,O'Donnell,,,
506748,"O'Loughlin, Joshua", Joshua O'Loughlin,O, Joshua,O'Loughlin,,,
294181,"Olivier-Wright, Miranda", Miranda Olivier-Wright,O, Miranda,Olivier-Wright,,,
421942,"Oneill, Marianne", Marianne Oneill,O, Marianne,Oneill,,,
294184,"Oshikoya, Modupe", Modupe Oshikoya,O, Modupe,Oshikoya,,,
