id,title,weblink,enabledby,triplestoreid
510,"Livestock (Records, Identification and Movement) (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-livestock-records-identification-and-movement-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,ALJcahEN
511,Trade in Endangered Species of Wild Fauna and Flora (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-trade-in-endangered-species-of-wild-fauna-and-flora-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,B2LQrOly
516,Drainage (Environmental Impact Assessment) (Amendment) (Northern Ireland) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-drainage-environmental-impact-assessment-amendment-northern-ireland-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,NfdC1ViH
517,Genetically Modified Organisms (Amendment) (England) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-genetically-modified-organisms-amendment-england-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,rboLmlsV
518,Genetically Modified Organisms (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-genetically-modified-organisms-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,jlqNK51z
519,Nagoya Protocol (Compliance) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-nagoya-protocol-compliance-amendment-eu-exit-2018,urn:procedure-editor:ActOfParliament:1,1juVOijt
520,"Pipe-lines, Petroleum, Electricity Works and Oil Stocking (Miscellaneous Amendments) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-pipe-lines-petroleum-electricity-works-and-oil-stocking-miscellaneous-amendments-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,sAaBC6PG
521,Water and Floods (Amendment) (Northern Ireland) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-water-and-floods-amendment-northern-ireland-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,MXYxDIVv
522,Cross-Border Mediation (EU Directive) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-cross-border-mediation-eu-directive-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,nslU4Wlp
523,Trade in Endangered Species of Wild Fauna and Flora (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-trade-in-endangered-species-of-wild-fauna-flora-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,4w3u4jgb
532,Health and Safety (Amendment) (Northern Ireland) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-health-and-safety-amendment-northern-ireland-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,FLhtFKMs
533,Rights of Passengers in Bus and Coach Transport (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-rights-of-passengers-in-bus-and-coach-transport-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,8KFPchRM
536,Organic Products (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-organic-products-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,HcOvPLL9
537,Equine Identification (England) (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-equine-identification-england-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,itgRlflO
